,sample_name,dose,timepoint,drug,viability
174,BULK5_n2,d4,48h,5Aza2d,0.993827160493827
175,BULK5_n2,d5,48h,5Aza2d,0.862931307375752
176,BULK5_n2,d6,48h,5Aza2d,0.803577081354859
177,BULK5_n2,d7,48h,5Aza2d,0.821937321937322
178,BULK5_n2,d8,48h,5Aza2d,0.781734726179171
179,BULK5_n2,d9,48h,5Aza2d,0.698797087685977
180,BULK5_n2,d10,48h,5Aza2d,0.618866729977841
181,BULK6_n1,d1,48h,5Aza2d,1.10583244962884
182,BULK6_n1,d2,48h,5Aza2d,1.21336161187699
183,BULK6_n1,d3,48h,5Aza2d,1.1287380699894
184,BULK6_n1,d4,48h,5Aza2d,1.07274655355249
185,BULK6_n1,d5,48h,5Aza2d,0.939130434782609
186,BULK6_n1,d6,48h,5Aza2d,0.921102863202545
187,BULK6_n1,d7,48h,5Aza2d,0.874019088016967
188,BULK6_n1,d8,48h,5Aza2d,0.751643690349947
189,BULK6_n1,d9,48h,5Aza2d,0.746765641569459
190,BULK6_n1,d10,48h,5Aza2d,0.658960763520679
191,BULK6_n2,d1,48h,5Aza2d,1.10607271274471
192,BULK6_n2,d2,48h,5Aza2d,1.10427487015581
193,BULK6_n2,d3,48h,5Aza2d,1.03875349580503
194,BULK6_n2,d4,48h,5Aza2d,0.955253695565322
195,BULK6_n2,d5,48h,5Aza2d,0.899121054734319
196,BULK6_n2,d6,48h,5Aza2d,0.862564922093488
197,BULK6_n2,d7,48h,5Aza2d,0.792249300838993
198,BULK6_n2,d8,48h,5Aza2d,0.717339192968438
199,BULK6_n2,d9,48h,5Aza2d,0.690571314422693
200,BULK6_n2,d10,48h,5Aza2d,0.652417099480623
201,SUDHL4_n1,d1,48h,Cytarabine,1.39950617283951
202,SUDHL4_n1,d2,48h,Cytarabine,1.38074074074074
203,SUDHL4_n1,d3,48h,Cytarabine,1.33827160493827
204,SUDHL4_n1,d4,48h,Cytarabine,1.30567901234568
205,SUDHL4_n1,d5,48h,Cytarabine,1.41432098765432
206,SUDHL4_n1,d6,48h,Cytarabine,1.56543209876543
207,SUDHL4_n1,d7,48h,Cytarabine,1.3358024691358
208,SUDHL4_n1,d8,48h,Cytarabine,1.20740740740741
209,SUDHL4_n1,d9,48h,Cytarabine,1.09333333333333
210,SUDHL4_n1,d10,48h,Cytarabine,0.908641975308642
211,SUDHL4_n2,d1,48h,Cytarabine,1.25628366247756
212,SUDHL4_n2,d2,48h,Cytarabine,1.32989228007181
213,SUDHL4_n2,d3,48h,Cytarabine,1.4245960502693
214,SUDHL4_n2,d4,48h,Cytarabine,1.44479353680431
215,SUDHL4_n2,d5,48h,Cytarabine,1.63016157989228
216,SUDHL4_n2,d6,48h,Cytarabine,1.52558348294434
217,SUDHL4_n2,d7,48h,Cytarabine,1.49371633752244
218,SUDHL4_n2,d8,48h,Cytarabine,1.21588868940754
219,SUDHL4_n2,d9,48h,Cytarabine,1.07181328545781
220,SUDHL4_n2,d10,48h,Cytarabine,0.990574506283663
