ensembl,symbol,BULK1,BULK2,BULK3,BULK4,BULK5,BULK6,HL60,K562,SUDHL4,THP1
ENSG00000157741,UBN2,13.40594728,11.94087384,22.15891353,9.217613391,18.60880132,23.1099289,15.63743087,37.48407569,11.585201,9.762755927
ENSG00000164898,FMC1,0.177291266,0.37624644,0.282596797,0.285080827,0.293514216,0.260695946,0.452530154,0.635323317,0.238680845,0.473623527
ENSG00000146963,LUC7L2,30.69866462,40.65441791,30.33759729,38.90403013,42.40302047,39.82513959,33.40342949,56.26140928,36.99553092,19.44912096
ENSG00000273391,---,0.313669163,0.37624644,0.415583525,0.437123934,0.958813107,1.364819955,0.284926393,1.030635603,0.495721754,0.106947248
ENSG00000188883,KLRG2,0.586424957,0.61387577,0.814543708,0.437123934,1.467571082,0.935438396,0.117322632,0,0,1.848659573
ENSG00000236279,CLEC2L,0.368220322,0.574270881,0.714803662,0.24707005,1.663247226,1.548840623,0,1.680077215,0,0.44306717
ENSG00000064393,HIPK2,30.50773556,16.41622623,49.52093279,10.92809835,37.31544072,39.88647981,18.38613254,73.852806,0,37.87460398
ENSG00000059377,TBXAS1,7.814453499,7.386311681,7.829593603,6.898956002,8.277100903,7.161471001,9.100884203,0.748269684,0.165240585,19.96857903
ENSG00000059378,PARP12,8.850925517,6.475399248,9.558421065,2.337662777,16.84771602,14.43028739,2.329692273,25.22939482,0.532441884,7.196021975
ENSG00000006459,KDM7A,7.978106976,3.188193514,11.5199753,4.884384828,9.568563456,12.92745194,1.02238294,25.87883644,7.729587353,2.184779496
ENSG00000260231,KDM7A-DT,0.886456331,1.445578425,2.842591308,0.133037719,4.246172331,3.327707082,0,6.932083301,0.055080195,0.44306717
ENSG00000157800,SLC37A3,4.1049747,3.346613067,7.064919918,1.083307141,8.590182734,9.093688016,0.117322632,18.25495664,1.266844483,1.726434147
ENSG00000238868,---,0.068188949,0.059407333,0.049870023,0,0.17610853,0.414046503,0,0.211774439,0,0.045834535
ENSG00000133606,MKRN1,116.343984,116.9334329,110.2293741,118.4605861,113.9422188,118.4633051,142.8822059,135.0415006,105.698894,103.7846651
ENSG00000146966,DENND2A,0.122740107,0.217826886,0.049870023,0.057016165,0.136973301,0.076675278,0,0,0,0.259729031
ENSG00000133597,ADCK2,47.20039016,31.5056887,27.97708287,61.63447469,43.5379421,37.43287091,17.51459299,25.53999733,74.45006346,51.10550638
ENSG00000090266,NDUFB2,99.05126661,109.5669237,70.53283579,125.4925798,127.3264671,113.9854688,64.84589499,102.7670761,134.9648376,67.88094614
ENSG00000240889,NDUFB2-AS1,0.750078434,0.534665993,0.482076889,0.96927481,1.428435853,0.904768285,0.519571658,0.324720806,1.046523703,0.381954457
ENSG00000157764,BRAF,38.96316518,33.01067446,35.45758632,48.59677823,42.55956138,41.54266583,27.63786013,61.96520083,59.39481018,25.04093422
ENSG00000273081,---,0.559149378,0.534665993,0.51532357,1.159328694,0.52832559,0.628737283,0.854779179,0.38119399,1.156684093,0.595848953
ENSG00000090263,MRPS33,71.23017562,89.52685016,55.60507559,98.88503602,69.44546361,70.40324061,69.43823803,79.50012437,110.6561116,35.15508825
ENSG00000261115,TMEM178B,0,0,0.116363387,0.133037719,0,0,0,0.127064663,0.055080195,0.076390891
ENSG00000006530,AGK,32.11699475,32.61462557,40.87679548,22.6734284,42.24647955,45.65246075,45.97371154,71.53740547,17.97450361,23.81867995
ENSG00000244701,---,0.340944743,0.217826886,0.149610069,0,0,0.046005167,0.251405641,0.042354888,0,0
ENSG00000257093,DENND11,14.44241929,16.13899201,9.558421065,17.69401663,2.837304092,6.425388328,36.75550471,1.030635603,24.69428739,3.162582906
ENSG00000270157,---,0.286393584,0.970319765,0.282596797,0.36110238,0.136973301,0.10734539,1.122945196,0.042354888,0.936363313,0.106947248
ENSG00000228775,WEE2-AS1,0.231842425,0.099012221,0.149610069,0.171048496,0.410919903,0.444716615,0.08380188,0.296484214,0.165240585,0.687518023
ENSG00000106028,SSBP1,278.2245477,359.5529791,252.6914063,326.0374386,332.9820947,297.3620646,319.7712149,415.4590943,320.5850945,122.8212753
ENSG00000270923,TAS2R6P,0,0,0.116363387,0,0.254378988,0.046005167,0,0.07059148,0,0
ENSG00000127366,TAS2R5,0.095464528,0.217826886,0.083116705,0,0.17610853,0.046005167,0.050281128,0.155301255,0.055080195,0
ENSG00000257335,MGAM,0.613700537,1.128739319,1.0140238,0.36110238,0.097838072,0.444716615,2.698420546,0,0,0.901412519
ENSG00000258227,CLEC5A,5.877887362,8.099199672,6.466479643,6.67089134,5.459364426,3.726418529,10.34115203,0,0,12.39060259
ENSG00000257743,MGAM2,0.177291266,0.138617109,0.182856751,0,0,0.138015501,0,0,0,0.595848953
ENSG00000253409,TRBV7-4,0.395495901,0.297036663,0.116363387,0.057016165,0,0.046005167,0.620133914,0,0,0
ENSG00000211721,TRBV6-5,0.040913369,0.217826886,0.182856751,0.095026942,0,0,1.156465948,0,0,0
ENSG00000211716,TRBV9,0.122740107,0.61387577,0.083116705,0.057016165,0,0,0.184364137,0,0,0
ENSG00000239944,---,0.177291266,0.257431774,0.182856751,0.095026942,0,0.138015501,0.217884889,0,0,0.595848953
ENSG00000211714,TRBV7-3,0.313669163,0,0.149610069,0.133037719,0.136973301,0.076675278,0.419009402,0,0,0.473623527
ENSG00000211772,TRBC2,0.91373191,0.61387577,0.714803662,0.171048496,1.937193828,1.334149844,0.08380188,2.131862685,0.605882144,0
ENSG00000237254,TRBV30,0,0,0.083116705,0,0,0.10734539,0,0.211774439,0,0
ENSG00000106123,EPHB6,17.16997724,15.1488698,20.06437257,3.934115406,29.5666654,26.14626993,12.85520844,40.11007873,1.670765912,7.287691044
ENSG00000127412,TRPV5,0,0.099012221,0.049870023,0.171048496,0,0.046005167,0.08380188,0,0.201960715,0
ENSG00000197993,KEL,10.4601847,9.881419648,14.74490345,0,24.59649134,22.12848534,0,44.88206276,0.055080195,0
ENSG00000197448,GSTK1,92.80515892,96.14086652,84.76241567,89.64841725,129.6354456,106.870003,65.11406101,130.1283336,86.89818751,95.80945606
ENSG00000231840,---,0.095464528,0.099012221,0.249350115,0,0.215243759,0.199355724,0.08380188,0.127064663,0.055080195,0.076390891
ENSG00000178826,TMEM139,0,0,0.182856751,0,0,0.199355724,0,0.211774439,0,0
ENSG00000106144,CASP2,38.1448978,24.3372039,41.64146916,42.8951617,28.78396083,36.69678823,55.42656364,47.36688284,67.8771602,38.24128026
ENSG00000240322,RN7SL481P,0.068188949,0,0.116363387,0,0,0,0.050281128,0.042354888,0.091800325,0.106947248
ENSG00000231531,---,0.559149378,0.732690435,0.249350115,0.589167041,0.254378988,0.322036169,0.117322632,0.522376949,0.532441884,0.106947248
ENSG00000188037,CLCN1,0.122740107,0,0.116363387,0,0,0.076675278,0,0.155301255,0,0.076390891
ENSG00000159784,FAM131B,1.104660966,0.930714877,1.213503892,0.893253256,1.115354022,0.782087839,0,0.042354888,0.201960715,3.345921046
ENSG00000232533,---,1.786550451,2.950564184,3.141811446,2.033576562,3.815684814,4.554511536,0.519571658,4.249607074,0.165240585,3.957048177
ENSG00000159840,ZYX,381.0262065,425.2970938,362.2724701,256.8198139,433.7944443,355.5432659,288.7645192,235.4508212,78.70959853,827.5425271
ENSG00000146904,EPHA1,0.995558648,1.405973537,1.080517164,0.665188595,1.311030167,1.119459064,0.921820684,0,0,3.682040968
ENSG00000229153,EPHA1-AS1,0.313669163,0.495061105,0.980777118,0.85524248,0.763136963,0.720747617,0.217884889,0.155301255,0,2.215335852
ENSG00000223459,TCAF1P1,1.241038863,0.336641551,2.809344626,0.437123934,1.741517684,1.978222182,0.117322632,5.011995055,0,1.543096007
ENSG00000170379,TCAF2,4.1049747,2.79214463,5.602065911,0.209059273,6.202933774,8.572296123,0.050281128,16.02426588,0.055080195,0.870856163
ENSG00000159860,---,0.177291266,0,0.548570252,0,0.17610853,0.383376392,0.050281128,1.058872195,0,0.076390891
ENSG00000253882,LOC154761,0.45004706,0.455456216,1.246750574,0.095026942,1.819788142,1.978222182,0.08380188,4.136660707,0.055080195,0.687518023
ENSG00000198420,TCAF1,6.968910538,2.5545153,11.48672862,1.349382579,8.081424759,10.68853381,0.385488649,29.43664701,0.128520455,6.951571122
ENSG00000213214,ARHGEF35,0.095464528,0.099012221,0.216103433,0,0.293514216,0.230025835,0,0.042354888,0,0.198616318
ENSG00000244198,---,0,0.178221998,0.116363387,0.209059273,0.058702843,0,0,0,0,0.229172674
ENSG00000244479,---,0.122740107,0.059407333,0.083116705,0.095026942,0,0.138015501,0,0,0,0.71807438
ENSG00000204959,---,0.586424957,0.37624644,0.349090161,0.323091603,0.332649445,0.138015501,0,0,0.128520455,1.115307015
ENSG00000228960,---,0,0,0.216103433,0.095026942,0.215243759,0,0,0,0,0.076390891
ENSG00000050327,ARHGEF5,0.204566846,0.653480658,1.047270482,0.741210149,0.293514216,0.904768285,0.586613162,0.042354888,0.165240585,2.368117635
ENSG00000196511,TPK1,9.860121955,7.90117523,9.525174383,11.42223845,11.64273059,8.388275455,5.815850494,6.367351464,4.314615268,20.97693879
ENSG00000243746,EEF1A1P10,0.095464528,0.138617109,0.182856751,0.133037719,0.097838072,0.046005167,0.08380188,0.042354888,0.055080195,0.137503605
ENSG00000174469,CNTNAP2,0,0,0,0.171048496,0,0.046005167,0,0,0.275400975,0
ENSG00000273314,---,3.313982898,3.544637509,2.476877807,3.934115406,5.381093968,5.014563206,1.189986701,5.153178014,2.221567861,3.987604534
ENSG00000055130,CUL1,147.8745537,105.6856446,129.9779031,180.0760554,134.5273492,140.3004244,108.5569558,160.7085626,229.3722917,123.0351698
ENSG00000106462,EZH2,147.6017979,128.5772701,135.1976322,133.2087675,146.6984054,139.656352,147.1393415,218.7629954,136.6172434,83.89247699
ENSG00000201098,RNY1,0.095464528,0.415851328,2.144410987,0.475134711,0.958813107,0.076675278,0.351967897,0.042354888,0.495721754,0.290285388
ENSG00000155660,PDIA4,88.68654643,121.7652293,111.5259947,88.35605083,100.636241,143.7048067,151.664643,136.1709642,106.9840986,63.38916173
ENSG00000197362,ZNF786,4.650486288,4.693179272,3.806745085,6.100729687,3.620008669,5.811986101,4.374458153,4.588446177,9.45543346,1.60420872
ENSG00000204947,ZNF425,1.622896975,0.8515051,2.077917623,2.071587339,2.993845008,2.008892294,0.653654666,2.442465196,1.780926302,3.315364689
ENSG00000197024,ZNF398,39.83598372,38.3177295,35.79005314,37.9537607,33.71499966,35.16328267,42.52107407,47.28217306,38.72137702,35.82732809
ENSG00000239719,---,0.095464528,0,0,0,0,0.076675278,0,0.042354888,0.201960715,0
ENSG00000170265,ZNF282,58.71068467,57.24886614,50.55157993,46.31613161,59.97473822,55.65091705,63.20337814,60.35571509,47.42404782,50.64716103
ENSG00000170260,ZNF212,18.88833874,19.26777819,16.54022428,18.72030761,21.30913211,22.95657835,22.44214355,26.07649258,21.53635621,11.38224283
ENSG00000204946,ZNF783,3.832218906,3.623847286,4.272198633,4.466266282,5.381093968,4.677191981,2.329692273,6.282641688,6.481102935,6.707120269
ENSG00000244560,LOC155060,0.122740107,0.099012221,0.182856751,0.057016165,0,0.138015501,0.050281128,0.07059148,0.348841234,0
